NAME,DEPARTMENT,INCIDENTS,DEAD
Athens,Αττικής,90,0
Mesologgi,Αιτολοακαρνανίας,0,0
Halkida,,0,0
Karpenisi,,0,0
Lamia,,0,0
Amfissa,,0,0
Tripoli,,0,0
Patra,Αχαίας,9,1
Pyrgos,Ηλίας,40,0
Korinthos,,0,0
Sparti,,0,0
Kalamata,,0,0
Zakynthos,Ζακύνθου,4,1
Kerkyra,,0,0
Argostoli,,0,0
Leykada,,0,0
Arta,,0,0
Prebeza,,0,0
Karditsa,,0,0
Larissa,,0,0
Bolos,,0,0
Trikala,,0,0
Grebena,,0,0
Drama,,0,0
Beroia,,0,0
Thessaloniki,Θεσσαλονίκης,6,0
Kabala,,0,0
Kastoria,Καστοριάς,3,0
Kilkis,,0,0
Kozani,Κοζάνης,0,1
Edessa,,0,0
Katerini,,0,0
Serres,,0,0
Florina,,0,0
Polygyros,,0,0
Aleksandroypoli,,0,0
Ksanthi,,0,0
Komotini,,0,0
Rodos,,0,0
Ermoypoli,,0,0
Mytilini,,0,0
Samos,,0,0
Xios,,0,0
Hrakleio,,0,0
Agios Nikolaos,,0,0
Rethimno,,0,0
Hania,,0,0
Ioannina,,0,0
Hgoymenitsa,,0,0
Leivadia,,0,0
Nayplion,,0,0
